                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2258,                  1.615,                 1.2739,                0.64624,                0.53312,                0.61427,                0.45564,                 1.0818,                 1.1204,                 1.1247,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2224,                 1.5098,                 1.2659,                0.67995,                0.54618,                0.63226,                0.47043,                 1.0794,                 1.0965,                  1.124,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.2002,                 1.4193,                 1.2163,                0.68775,                0.55154,                0.64295,                0.47861,                 1.0772,                 1.0727,                 1.1237,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2351,                 1.4719,                 1.2507,                0.69221,                0.57537,                 0.6565,                0.49074,                 1.0672,                 1.0486,                 1.1148,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1492,                 1.2789,                 1.2148,                0.70676,                0.60117,                0.67377,                0.50684,                  1.052,                 1.0273,                 1.1041,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1097,                 1.3118,                 1.1923,                0.71185,                0.62237,                0.68957,                 0.5128,                 1.0384,                0.99712,                 1.0927,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.114,                 1.1653,                 1.1921,                0.71782,                0.64819,                0.69171,                0.51909,                 1.0324,                0.97502,                 1.0902,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1249,                 1.1803,                 1.1984,                0.72532,                0.65339,                0.69954,                0.52668,                 1.0266,                0.94509,                 1.0882,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0494,                 1.0986,                 1.1469,                0.71771,                0.66816,                0.71324,                 0.5362,                  1.013,                0.91948,                 1.0821,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0783,                 1.1495,                 1.1903,                0.71254,                0.67184,                0.71941,                0.54299,                 1.0098,                0.90227,                 1.0794,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0504,                 1.0769,                 1.1504,                0.72296,                0.68859,                0.73149,                0.55769,                 1.0125,                 0.8827,                 1.0817,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1015,                 1.1194,                 1.1945,                 0.7717,                0.67322,                 0.7394,                0.56576,                 1.0101,                0.86484,                 1.0776,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0559,                 1.0605,                 1.1553,                0.78262,                0.68423,                0.74592,                0.57166,                0.99776,                0.84661,                 1.0708,             0.00010486,             0.00010486,             0.00010486
                     14,                  1.029,                 1.0582,                 1.1627,                0.78389,                0.68243,                0.75639,                0.57911,                0.98838,                0.83076,                  1.065,             0.00010486,             0.00010486,             0.00010486
                     15,                0.99519,                 1.0021,                 1.1374,                0.79392,                0.67518,                0.75971,                0.58196,                0.98378,                0.81987,                 1.0626,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0281,                 1.0067,                 1.1358,                0.81027,                0.66181,                0.77174,                 0.5908,                 0.9756,                0.80431,                 1.0565,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0571,                 1.0442,                 1.1494,                0.73156,                0.73665,                0.78108,                0.60231,                0.96578,                0.78863,                 1.0515,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0746,                0.99292,                 1.1336,                0.79671,                0.69533,                0.78835,                0.60988,                0.96424,                0.78101,                 1.0474,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97623,                0.94134,                 1.1241,                0.83937,                0.69759,                0.79766,                0.61811,                0.94923,                0.77259,                 1.0386,             9.8972e-05,             9.8972e-05,             9.8972e-05
